company_name,ticker,cik,exchange,industry,sic_code,latest_revenue,revenue_period,revenue_growth_pct,gpt_revenue_method,gpt_accounting_standard,gpt_recognition_pattern,gpt_confidence,gpt_explanation,revenue_concepts_count,has_filing_context,url,analysis_date
Verizon Communications Inc.,N/A,732712,N/A,Unknown,Unknown,134788000000,2024-12-31,0.61,Subscription,ASC 606,Over-time,8,"Verizon Communications Inc. primarily operates in the telecommunications sector, which typically utilizes subscription-based revenue models for services such as wireless and broadband. Under ASC 606, revenue is recognized over time as services are rendered, aligning with the continuous nature of subscription services. The slight revenue growth indicates a stable but potentially saturated market, reinforcing the subscription model's relevance.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/732712/000073271225000006/vz-20241231.htm,2025-09-02 16:52:17
INTUIT INC.,N/A,896878,N/A,Unknown,Unknown,16285000000,2024-07-31,13.34,Subscription,ASC 606,Over-time,8,"Intuit Inc. primarily operates in the software and services industry, where revenue is often recognized over time as customers utilize subscription-based services. Given the significant revenue figure and growth rate, it is likely that Intuit employs ASC 606 to recognize revenue from ongoing service contracts, aligning with the subscription model prevalent in the industry.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/896878/000089687824000039/intu-20240731.htm,2025-09-02 16:52:23
THERMO FISHER SCIENTIFIC INC.,N/A,97745,N/A,Unknown,Unknown,20918000000,2017-12-31,-71.09,ASC 606 Contract-based,ASC 606,Contract-based,8,"Thermo Fisher Scientific Inc. likely employs the ASC 606 standard, which emphasizes recognizing revenue when control of goods or services is transferred to customers, typically through contracts. Given the nature of their business, which involves selling scientific instruments and services, this method aligns with their revenue recognition practices, allowing for a structured approach to recognizing revenue based on contractual agreements.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/97745/000009774525000010/tmo-20241231.htm,2025-09-02 16:52:30
"SERVICENOW, INC.",N/A,1373715,N/A,Unknown,Unknown,1933026000,2017-12-31,39.02,Subscription,ASC 606,Over-time,8,"ServiceNow, Inc. primarily operates in the software-as-a-service (SaaS) model, which typically involves subscription-based revenue recognition. Under ASC 606, revenue is recognized over time as the service is provided, aligning with the continuous delivery of software updates and support to customers. The significant revenue growth of 39.02% further supports the effectiveness of this model in capturing ongoing customer value.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/1373715/000137371525000010/now-20241231.htm,2025-09-02 16:53:16
Booking Holdings Inc.,N/A,1075531,N/A,Unknown,Unknown,23739000000,2024-12-31,11.11,ASC 606 Contract-based,ASC 606,Contract-based,8,"Booking Holdings Inc. likely utilizes the ASC 606 framework, which emphasizes recognizing revenue as control of goods or services is transferred to customers. Given the nature of the company's operations in the travel and online booking industry, it is reasonable to conclude that their revenue recognition aligns with contract-based principles, where performance obligations are satisfied over time or at a point in time based on customer transactions.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/1075531/000107553125000010/bkng-20241231.htm,2025-09-02 16:53:23
Shopify Inc.,N/A,1594805,N/A,Unknown,Unknown,8880000000,2024-12-31,25.78,Subscription,ASC 606,Over-time,8,"Shopify primarily operates on a subscription model, providing services to merchants through its platform. Under ASC 606, revenue from subscriptions is recognized over time as the service is provided, aligning with the continuous nature of the service delivery. The significant revenue growth indicates effective execution of this model, supporting the over-time recognition pattern.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/1594805/000159480525000012/shop-20241231.htm,2025-09-02 16:53:29
Citigroup Inc,N/A,831001,N/A,Unknown,Unknown,81139000000,2024-12-31,3.41,Mixed approach,ASC 606,Mixed,7,"Citigroup's revenue recognition encompasses various streams, including investment income and trading gains, which suggests a mixed approach. The inclusion of both point-in-time and over-time recognition aligns with ASC 606, as it allows for the recognition of revenue from different types of transactions and services rendered, reflecting the complexity of financial services.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/831001/000083100125000067/c-20241231.htm,2025-09-02 16:53:56
THE BOEING COMPANY,N/A,12927,N/A,Unknown,Unknown,66517000000,2024-12-31,-14.5,Mixed approach,ASC 606,Over-time,7,"Boeing's revenue recognition likely involves a mixed approach due to its diverse operations, including manufacturing and services, which can be recognized both at a point in time and over time. Given the nature of aerospace contracts, which often span multiple periods and involve significant customization, the over-time recognition pattern aligns with ASC 606, allowing for revenue to be recognized as performance obligations are satisfied.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/12927/000001292725000015/ba-20241231.htm,2025-09-02 16:54:03
SCHWAB CHARLES CORP,N/A,316709,N/A,Unknown,Unknown,19606000000,2024-12-31,4.08,Mixed approach,ASC 606,Mixed,7,"The company's revenue recognition approach appears to be a mixed method due to the diverse nature of its revenue streams, which include goods sold, services rendered, and investment income. Under ASC 606, revenue can be recognized at a point in time or over time depending on the nature of the transaction, which aligns with the company's reported revenue sources. The growth rate of 4.08% suggests a stable revenue recognition process consistent with ASC 606 principles.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/316709/000031670925000010/schw-20241231.htm,2025-09-02 16:54:29
"BlackRock, Inc.",N/A,2012383,N/A,Unknown,Unknown,12794000000,2024-12-31,16.18,Mixed approach,ASC 606,Mixed,7,"BlackRock, Inc. recognizes revenue from various sources, including investment and interest income, which suggests a mixed approach to revenue recognition. The inclusion of both transaction-based revenue from services rendered and investment income aligns with ASC 606, which allows for multiple revenue recognition patterns depending on the nature of the transactions. The growth rate of 16.18% indicates effective revenue generation across diverse activities.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/2012383/000095017025026584/blk-20241231.htm,2025-09-02 16:54:56
QUALCOMM INC/DE,N/A,804328,N/A,Unknown,Unknown,38962000000,2024-09-29,8.77,ASC 606 Contract-based,ASC 606,Contract-based,8,"QUALCOMM's revenue recognition approach aligns with ASC 606, which emphasizes recognizing revenue when control of goods or services is transferred to customers. Given the nature of QUALCOMM's business, which includes the sale of semiconductor products and licensing of technology, it is likely that their revenue is recognized based on contracts with customers, reflecting the performance obligations fulfilled. The consistent revenue growth further supports the application of this method.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/804328/000080432824000075/qcom-20240929.htm,2025-09-02 16:55:01
GE Vernova Inc.,N/A,1996810,N/A,Unknown,Unknown,34935000000,2024-12-31,5.1,ASC 606 Contract-based,ASC 606,Contract-based,8,"GE Vernova Inc. recognizes revenue from contracts with customers by transferring promised goods or services, which aligns with the principles of ASC 606. The mention of revenue excluding assessed tax indicates a focus on the net revenue from contracts, supporting a contract-based recognition pattern. The revenue growth of 5.1% suggests a stable and consistent approach to recognizing revenue over time.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/1996810/000199681025000011/gev-20241231.htm,2025-09-02 16:55:29
"Intuitive Surgical, Inc.",N/A,1035267,N/A,Unknown,Unknown,8352100000,2024-12-31,17.24,ASC 606 Contract-based,ASC 606,Point-in-time,8,"Intuitive Surgical, Inc. recognizes revenue from contracts with customers upon the satisfaction of performance obligations, which aligns with ASC 606's contract-based approach. The definition provided indicates that revenue is recognized when goods or services are transferred to customers, suggesting a point-in-time recognition pattern. The significant revenue growth also supports the effectiveness of this method in capturing revenue from customer transactions.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/1035267/000103526725000017/isrg-20241231.htm,2025-09-02 16:55:56
S&P Global Inc.,N/A,64040,N/A,Unknown,Unknown,6063000000,2017-12-31,-73.79,Mixed approach,ASC 606,Transaction-based,7,"S&P Global Inc. likely employs a mixed approach to revenue recognition, as it generates revenue from various sources, including services and possibly investment income. Given the nature of their operations, which may involve both point-in-time and over-time recognition, ASC 606 is applicable as it provides a comprehensive framework for recognizing revenue from contracts with customers. The significant revenue decline suggests potential challenges in their revenue streams or market conditions affecting their business model.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/64040/000006404025000052/spgi-20241231.htm,2025-09-02 16:56:24
"Arista Networks, Inc.",N/A,1596532,N/A,Unknown,Unknown,7003146000,2024-12-31,19.5,ASC 606 Contract-based,ASC 606,Contract-based,8,"Arista Networks recognizes revenue from contracts with customers by transferring promised goods or services, which aligns with the ASC 606 framework. The mention of revenue excluding assessed tax indicates a focus on the net revenue from performance obligations, characteristic of contract-based recognition under ASC 606. The significant revenue growth further supports the effectiveness of this approach in capturing revenue accurately.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/1596532/000159653225000028/anet-20241231.htm,2025-09-02 16:56:50
Accenture plc,N/A,1467373,N/A,Unknown,Unknown,64896464000,2024-08-31,-74.72,Contract-based,ASC 606,Over-time,8,"Accenture plc primarily provides consulting and professional services, which typically involve long-term contracts and ongoing performance obligations. Under ASC 606, revenue is recognized over time as the services are rendered, aligning with the nature of their business model. The significant revenue decline may indicate challenges in contract renewals or new client acquisitions, impacting their revenue recognition.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/1467373/000146737324000278/acn-20240831.htm,2025-09-02 16:57:16
BOSTON SCIENTIFIC CORPORATION,N/A,885725,N/A,Unknown,Unknown,9076000000,2016-12-31,12.49,ASC 606 Contract-based,ASC 606,Contract-based,8,"Boston Scientific Corporation likely utilizes the ASC 606 framework for revenue recognition, which emphasizes recognizing revenue as control of goods or services is transferred to customers. Given the nature of their operations in the medical device industry, it is reasonable to conclude that their revenue is recognized based on contracts with customers, aligning with the contract-based pattern under ASC 606.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/885725/000088572525000011/bsx-20241231.htm,2025-09-02 16:57:22
AppLovin Corporation,N/A,1751008,N/A,Unknown,Unknown,4709248000,2024-12-31,43.44,ASC 606 Contract-based,ASC 606,Contract-based,8,"AppLovin Corporation's revenue recognition approach likely aligns with ASC 606, which emphasizes recognizing revenue when control of goods or services is transferred to customers. Given the substantial revenue figure and significant growth rate, it suggests a structured contract-based model where performance obligations are met over time or at a point in time, typical for technology and service-oriented companies.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/1751008/000175100825000018/app-20241231.htm,2025-09-02 16:57:49
Amgen Inc.,N/A,318154,N/A,Unknown,Unknown,25424000000,2020-12-31,8.83,ASC 606 Contract-based,ASC 606,Contract-based,8,"Amgen Inc. likely utilizes the ASC 606 framework for revenue recognition, which is designed for companies that enter into contracts with customers to transfer goods or services. Given the nature of Amgen's business in the biotechnology sector, it is reasonable to conclude that their revenue is recognized based on the fulfillment of performance obligations outlined in contracts, aligning with the contract-based recognition pattern.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/318154/000031815425000010/amgn-20241231.htm,2025-09-02 16:58:16
"The TJX Companies, Inc.",N/A,109198,N/A,Unknown,Unknown,29078407000,2015-01-31,-71.44,Point-in-time,Legacy GAAP,Point-in-time,7,"The TJX Companies, Inc. primarily recognizes revenue at the point of sale when goods are sold to customers, which aligns with traditional retail practices. Given the lack of additional context and the significant revenue decline, it is likely that they are still adhering to legacy GAAP standards for revenue recognition, as there is no indication of contracts or ongoing performance obligations typical of ASC 606.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/109198/000010919825000010/tjx-20250201.htm,2025-09-02 16:58:24
"NEXTERA ENERGY, INC.",N/A,753308,N/A,Unknown,Unknown,14256000000,2012-12-31,-76.33,Mixed approach,ASC 606,Mixed,7,"NEXTERA ENERGY, INC. likely employs a mixed approach to revenue recognition, as it operates in sectors that may involve both point-in-time and over-time revenue recognition methods. Given the nature of its operations, which can include energy sales and service contracts, ASC 606 provides the framework for recognizing revenue based on the transfer of control, aligning with the diverse revenue streams indicated in the provided data. The significant revenue decline suggests potential challenges in contract fulfillment or market conditions affecting revenue recognition.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/753308/000075330825000011/nee-20241231.htm,2025-09-02 16:58:32
ADOBE INC.,N/A,796343,N/A,Unknown,Unknown,21505000000,2024-11-29,10.8,Subscription,ASC 606,Over-time,8,"Adobe Inc. primarily operates on a subscription model for its software products, which aligns with the revenue recognition method under ASC 606. This standard allows for revenue to be recognized over time as the customer receives and consumes the benefits of the service, reflecting the ongoing nature of subscription agreements. The reported revenue growth of 10.8% further supports the effectiveness of this approach in recognizing revenue consistently with customer usage.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/796343/000079634325000004/adbe-20241129.htm,2025-09-02 16:58:59
STRYKER CORP,N/A,310764,N/A,Unknown,Unknown,22595000000,2024-12-31,-71.52,ASC 606 Contract-based,ASC 606,Contract-based,7,"Stryker Corp likely employs ASC 606 for revenue recognition, as it is a widely adopted standard for companies with complex contracts, particularly in the healthcare industry. The significant revenue figure suggests a structured approach to recognizing revenue from contracts with customers, aligning with the principles of contract-based recognition under ASC 606. However, the drastic revenue decline raises questions about the sustainability of this approach or potential issues in contract fulfillment.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/310764/000031076425000023/syk-20241231.htm,2025-09-02 16:59:06
DANAHER CORPORATION,N/A,313616,N/A,Unknown,Unknown,19893000000,2018-12-31,-73.04,ASC 606 Contract-based,ASC 606,Contract-based,7,"Danaher Corporation's revenue recognition approach likely aligns with ASC 606, which emphasizes recognizing revenue when control of goods or services is transferred to customers. Given the significant revenue figure and the nature of their operations, it is reasonable to conclude that they utilize a contract-based method to recognize revenue from various business segments, although the drastic revenue decline suggests potential challenges in their market or operational execution.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/313616/000031361625000043/dhr-20241231.htm,2025-09-02 16:59:52
"LOWE’S COMPANIES, INC.",N/A,60667,N/A,Unknown,Unknown,83674000000,2025-01-31,-3.13,ASC 606 Contract-based,ASC 606,Point-in-time,8,"Lowe's revenue recognition approach aligns with ASC 606, as it recognizes revenue from contracts with customers upon the satisfaction of performance obligations, specifically through the transfer of goods or services. The mention of revenue excluding assessed tax indicates a focus on the net revenue from transactions, consistent with point-in-time recognition typical for retail sales.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/60667/000006066725000049/low-20250131.htm,2025-09-02 16:59:59
CAPITAL ONE FINANCIAL CORP,N/A,927628,N/A,Unknown,Unknown,39112000000,2024-12-31,6.32,Mixed approach,ASC 606,Mixed,7,"Capital One Financial Corp's revenue recognition likely involves a mixed approach due to the diverse nature of its revenue streams, which include interest income, fees from services, and trading gains. Under ASC 606, the recognition of revenue from financial services can vary based on the specific contracts and transactions, leading to a combination of point-in-time and over-time recognition patterns.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/927628/000092762825000092/cof-20241231.htm,2025-09-02 17:00:05
PROGRESSIVE CORP/OH/,N/A,80661,N/A,Unknown,Unknown,75372000000,2024-12-31,21.35,Mixed approach,ASC 606,Mixed,7,"Progressive Corp appears to utilize a mixed approach to revenue recognition, as it generates revenue from various sources including goods sold, services rendered, and insurance premiums. Given the diverse nature of its revenue streams, ASC 606 is applicable, allowing for both point-in-time and over-time recognition depending on the specific contracts and performance obligations involved. The significant revenue growth also suggests effective management of these recognition methods.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/80661/000008066125000007/pgr-20241231.htm,2025-09-02 17:00:35
PFIZER INC,N/A,78003,N/A,Unknown,Unknown,63627000000,2024-12-31,6.84,ASC 606 Contract-based,ASC 606,Contract-based,8,"Pfizer Inc. likely utilizes the ASC 606 framework for revenue recognition, which is applicable to companies that enter into contracts with customers to transfer goods or services. Given the nature of Pfizer's business in pharmaceuticals, revenue is typically recognized when control of the product is transferred to the customer, aligning with the contract-based recognition pattern. The reported revenue growth further supports the application of this standard, as it reflects ongoing contract performance and fulfillment.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/78003/000007800325000054/pfe-20241231.htm,2025-09-02 17:00:41
"GILEAD SCIENCES, INC.",N/A,882095,N/A,Unknown,Unknown,24689000000,2020-12-31,-69.94,ASC 606 Contract-based,ASC 606,Contract-based,8,"Gilead Sciences, Inc. likely utilizes ASC 606 for revenue recognition, as it is a prevalent standard for companies in the pharmaceutical industry, particularly for recognizing revenue from contracts with customers. The significant revenue figure suggests a structured approach to recognizing revenue from product sales and services, aligning with the contract-based pattern typical under ASC 606. The drastic revenue decline may indicate challenges in sales or market conditions affecting contract fulfillment.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/882095/000088209525000006/gild-20241231.htm,2025-09-02 17:01:30
Honeywell International Inc,N/A,773840,N/A,Unknown,Unknown,36529000000,2011-12-31,-74.07,Mixed approach,Legacy GAAP,Point-in-time,7,"Given the significant revenue decline of -74.07%, it suggests potential issues with revenue recognition practices or market conditions affecting sales. The description of revenue concepts indicates a mix of revenue sources, which aligns with a mixed approach under legacy GAAP, primarily recognizing revenue at a point-in-time when goods are sold or services rendered.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/773840/000077384025000010/hon-20241231.htm,2025-09-02 17:01:38
EATON CORPORATION plc,N/A,1551182,N/A,Unknown,Unknown,0,2016-12-31,N/A,Legacy standards,Legacy GAAP,Point-in-time,7,"Given that EATON CORPORATION plc reported $0 revenue for the latest period and no growth, it suggests that the company may not have engaged in significant revenue-generating activities during that time. The reference to revenue concepts indicates a traditional approach to revenue recognition, likely adhering to legacy GAAP standards, which typically recognize revenue at a point in time when goods are delivered or services are rendered.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/1551182/000155118225000006/etn-20241231.htm,2025-09-02 17:01:44
AMPHENOL CORPORATION,N/A,820313,N/A,Unknown,Unknown,15222700000,2024-12-31,21.25,ASC 606 Contract-based,ASC 606,Contract-based,8,"Amphenol Corporation's revenue recognition approach aligns with ASC 606, which emphasizes recognizing revenue when control of goods or services is transferred to customers. Given the nature of their revenue from goods sold and services rendered, it is likely that they follow a contract-based recognition pattern, reflecting the satisfaction of performance obligations as outlined in the standard.",2,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/820313/000155837025000714/aph-20241231x10k.htm,2025-09-02 17:02:11
DEERE & CO,N/A,315189,N/A,Unknown,Unknown,51716000000,2024-10-27,-15.57,ASC 606 Contract-based,ASC 606,Mixed,7,"DEERE & CO's revenue recognition likely follows ASC 606, which emphasizes recognizing revenue when control of goods or services is transferred to customers. Given the nature of their operations, which may include both product sales and service contracts, a mixed pattern of recognition is plausible, reflecting both point-in-time and over-time recognition based on the specific terms of contracts. The significant revenue decline suggests potential challenges in meeting performance obligations or market demand.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/315189/000155837024016169/de-20241027x10k.htm,2025-09-02 17:02:39
"Micron Technology, Inc.",N/A,723125,N/A,Unknown,Unknown,30391000000,2018-08-30,-72.23,Point-in-time,ASC 606,Point-in-time,7,"Micron Technology, Inc. recognizes revenue from the sale of goods, which typically aligns with point-in-time recognition as per ASC 606. Given the nature of their business in semiconductor manufacturing, revenue is likely recognized when control of the product transfers to the customer, indicating a point-in-time recognition pattern. The significant revenue decline suggests potential market challenges or shifts in demand, which may impact future revenue recognition practices.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/723125/000072312524000027/mu-20240829.htm,2025-09-02 17:03:05
UNION PACIFIC CORP,N/A,100885,N/A,Unknown,Unknown,19533000000,2020-12-31,-73.68,Point-in-time,ASC 606,Point-in-time,7,"Given that UNION PACIFIC CORP's revenue primarily stems from goods sold and services rendered, it is likely that they recognize revenue at a point in time when control of the goods or services is transferred to the customer. The significant revenue decline suggests potential disruptions or changes in demand, which aligns with a point-in-time recognition approach under ASC 606, focusing on the completion of performance obligations.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/100885/000010088525000042/unp-20241231.htm,2025-09-02 17:03:11
APPLIED MATERIALS INC /DE,N/A,6951,N/A,Unknown,Unknown,14608000000,2019-10-27,-74.3,ASC 606 Contract-based,ASC 606,Contract-based,8,"Applied Materials Inc. likely utilizes the ASC 606 standard, which emphasizes recognizing revenue as control of goods or services is transferred to customers. Given the nature of their business in manufacturing and selling equipment, it is reasonable to conclude that their revenue recognition aligns with contract-based recognition, where revenue is recognized based on the fulfillment of performance obligations outlined in customer contracts. The significant revenue decline suggests potential challenges in contract fulfillment or market demand.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/6951/000000695124000044/amat-20241027.htm,2025-09-02 17:03:58
KKR & CO. INC.,N/A,1404912,N/A,Unknown,Unknown,21878698000,2024-12-31,50.89,Mixed approach,ASC 606,Mixed,7,"KKR & Co. Inc. recognizes revenue from various activities, including investment and interest income, which suggests a mixed approach to revenue recognition. The significant revenue growth indicates diverse revenue streams, likely requiring different recognition patterns under ASC 606, which accommodates both point-in-time and over-time recognition based on the nature of the transactions.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/1404912/000140491225000015/kkr-20241231.htm,2025-09-02 17:04:04
LAM RESEARCH CORPORATION,N/A,707549,N/A,Unknown,Unknown,3237693000,2011-06-26,51.74,Mixed approach,ASC 606,Point-in-time,7,"LAM RESEARCH CORPORATION's revenue recognition appears to follow a mixed approach, as it likely involves both the sale of goods and services, which can be recognized at a point in time when control transfers to the customer. Given the significant revenue growth and the nature of the semiconductor equipment industry, it is reasonable to conclude that they apply ASC 606, which emphasizes the transfer of control in revenue recognition.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/707549/000070754925000075/lrcx-20250629.htm,2025-09-02 17:04:10
"Analog Devices, Inc.",N/A,6281,N/A,Unknown,Unknown,6200942000,2018-11-03,-74.25,ASC 606 Contract-based,ASC 606,Contract-based,7,"Given the nature of Analog Devices, Inc. as a technology company likely engaged in the sale of goods and services, the ASC 606 standard, which emphasizes recognizing revenue based on the transfer of control of goods or services to customers, is applicable. The significant revenue figure suggests a structured approach to contracts with customers, aligning with the contract-based recognition pattern. However, the drastic revenue decline indicates potential issues in sales or market conditions that may affect the reliability of this recognition method.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/6281/000000628124000204/adi-20241102.htm,2025-09-02 17:04:56
"Palo Alto Networks, Inc",N/A,1327567,N/A,Unknown,Unknown,2273100000,2018-07-31,29.04,Subscription,ASC 606,Over-time,8,"Palo Alto Networks, Inc. likely employs a subscription revenue model, common in the cybersecurity industry, where revenue is recognized over the subscription period as services are delivered. This aligns with ASC 606, which emphasizes recognizing revenue as performance obligations are satisfied over time, particularly for ongoing service contracts.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/1327567/000132756725000027/panw-20250731.htm,2025-09-02 17:05:02
COMCAST CORPORATION,N/A,1166691,N/A,Unknown,Unknown,121572000000,2023-12-31,0.12,Mixed approach,ASC 606,Mixed,7,"Comcast Corporation likely employs a mixed approach to revenue recognition, as it generates revenue from various sources, including goods sold and services rendered, which can be recognized at different points in time or over time. The application of ASC 606 suggests that the company recognizes revenue based on contracts with customers, aligning with the principles of performance obligations and transfer of control. The slight revenue growth indicates a stable but potentially saturated market, which may influence their recognition strategy.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/1166691/000116669125000011/cmcsa-20241231.htm,2025-09-02 17:05:09
"AUTOMATIC DATA PROCESSING, INC.",N/A,8670,N/A,Unknown,Unknown,20560900000,2025-06-30,7.07,ASC 606 Contract-based,ASC 606,Contract-based,8,"Given the nature of Automatic Data Processing, Inc.'s revenue, which includes services rendered and potentially long-term contracts, it is likely that they follow the ASC 606 standard, which emphasizes recognizing revenue as control of goods or services is transferred to customers. The revenue growth of 7.07% suggests a stable and predictable revenue stream consistent with contract-based recognition.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/8670/000000867025000037/adp-20250630.htm,2025-09-02 17:05:57
ConocoPhillips,N/A,1163165,N/A,Unknown,Unknown,54745000000,2024-12-31,-2.49,Point-in-time,ASC 606,Point-in-time,7,"ConocoPhillips primarily recognizes revenue from the sale of oil and gas products, which typically occurs at a specific point in time when control of the goods transfers to the customer. This aligns with ASC 606, which emphasizes the transfer of control as the basis for revenue recognition. The negative revenue growth suggests potential market challenges, but the recognition method remains consistent with industry practices.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/1163165/000116316525000012/cop-20241231.htm,2025-09-02 17:06:05
"MercadoLibre, Inc.",N/A,1099590,N/A,Unknown,Unknown,20777000000,2024-12-31,387.61,ASC 606 Contract-based,ASC 606,Contract-based,8,"MercadoLibre, Inc. likely utilizes the ASC 606 framework, which emphasizes recognizing revenue when control of goods or services is transferred to customers, aligning with their substantial revenue from sales and services. The significant revenue growth suggests a robust contract-based approach, typical for companies in e-commerce and digital services, where performance obligations are clearly defined and fulfilled.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/1099590/000109959025000007/meli-20241231.htm,2025-09-02 17:06:11
Medtronic plc,N/A,1613103,N/A,Unknown,Unknown,33537000000,2025-04-25,3.62,ASC 606 Contract-based,ASC 606,Contract-based,8,"Medtronic's revenue recognition approach aligns with ASC 606, which emphasizes recognizing revenue from contracts with customers as performance obligations are satisfied. The mention of revenue from contracts with customers, excluding assessed tax, indicates adherence to the principles of ASC 606, which focuses on the transfer of control of goods or services to customers.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/1613103/000161310325000091/mdt-20250425.htm,2025-09-02 17:06:38
KLA CORP,N/A,319201,N/A,Unknown,Unknown,12156162000,2025-06-30,23.89,ASC 606 Contract-based,ASC 606,Contract-based,8,"KLA Corp's revenue recognition approach aligns with ASC 606, which emphasizes recognizing revenue when a company satisfies a performance obligation by transferring control of a good or service to a customer. The mention of revenue from contracts with customers, excluding assessed taxes, indicates a focus on the fulfillment of contractual obligations, characteristic of a contract-based recognition pattern.",2,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/319201/000031920125000024/klac-20250630.htm,2025-09-02 17:06:44
"NIKE, Inc.",N/A,320187,N/A,Unknown,Unknown,46309000000,2025-05-31,-9.84,ASC 606 Contract-based,ASC 606,Point-in-time,8,"NIKE, Inc. recognizes revenue from contracts with customers upon the transfer of control of goods to the customer, which aligns with the ASC 606 standard. The description of revenue excluding assessed tax indicates that revenue is recognized at a specific point in time when performance obligations are satisfied, consistent with the point-in-time recognition pattern.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/320187/000032018725000047/nke-20250531.htm,2025-09-02 17:07:10
WELLTOWER INC.,N/A,766704,N/A,Unknown,Unknown,7991118000,2024-12-31,20.38,GPT Error: Error code: 429 - {'error': {'message': 'Rate limi,Error,Error,0,"Error analyzing: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-ZMMMMF211fTKiDn7Jkb5HvWw on requests per day (RPD): Limit 200, Used 200, Requested 1. Please try again in 7m12s. Visit https://platform.openai.com/account/rate-limits to learn more. You can increase your rate limit by adding a payment method to your account at https://platform.openai.com/account/billing.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/766704/000076670425000009/well-20241231.htm,2025-09-02 17:07:54
"Altria Group, Inc.",N/A,764180,N/A,Unknown,Unknown,24018000000,2024-12-31,-1.9,GPT Error: Error code: 429 - {'error': {'message': 'Rate limi,Error,Error,0,"Error analyzing: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-ZMMMMF211fTKiDn7Jkb5HvWw on requests per min (RPM): Limit 3, Used 3, Requested 1. Please try again in 20s. Visit https://platform.openai.com/account/rate-limits to learn more. You can increase your rate limit by adding a payment method to your account at https://platform.openai.com/account/billing.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/764180/000076418025000019/mo-20241231.htm,2025-09-02 17:08:00
